,metal_amount_mmol,ligand_amount_mmol,reductant_amount_mmol,sol1_vol_mL,solv2_vol_mL,time_min,temp_c,7,8,9,10,11,size_nm,g_factor*10^4.1
90,-0.4047895281141955,1.4209780822421079,-0.2555679363270026,5.7037166482138,-0.5251573428569705,-0.6707320117838507,2.1213954184049206,3.0,28.0,8.0,9.0,1.0,23,0
91,-0.2794054939933171,-0.43158011987670447,-0.2501392405537711,-0.5632416900757825,-0.5251573428569705,-0.36184163762022264,1.6290161122855338,3.0,53.0,8.0,9.0,1.0,23,0
92,1.3505869495781015,0.42175575100218754,0.2905588584600845,-0.37916001564821644,3.8323480614419227,-0.36184163762022264,-0.17637467681888483,1.0,21.0,15.0,9.0,0.0,1.7,None
93,1.3505869495781015,0.42175575100218754,0.2905588584600845,-0.37916001564821644,3.8323480614419227,-0.36184163762022264,-0.17637467681888483,3.0,21.0,15.0,9.0,0.0,2,None
94,0.09674660836931795,7.541214861086621,-0.26859680618275816,-0.78823040326503,-0.5251573428569705,-0.6514263633986239,8.850579268703207,3.0,80.0,6.0,2.0,1.0,5,None
95,-0.47444732484801677,-0.32766099742775273,-0.23466745760006139,-0.5836952094566232,-0.5251573428569705,-0.47767552793158313,-0.9970068536845296,3.0,78.0,15.0,3.0,1.0,3.45,None
96,-0.47444732484801677,-0.32766099742775273,-0.23466745760006139,-0.5836952094566232,-0.5251573428569705,-0.47767552793158313,-0.9970068536845296,3.0,69.0,15.0,3.0,1.0,3.2,None
97,-0.47444732484801677,-0.32766099742775273,-0.23466745760006139,-0.5836952094566232,-0.5251573428569705,-0.47767552793158313,-0.9970068536845296,3.0,75.0,15.0,3.0,1.0,2.32,None
98,-0.47444732484801677,-0.32766099742775273,-0.23466745760006139,-0.5836952094566232,-0.5251573428569705,-0.47767552793158313,-0.9970068536845296,3.0,50.0,15.0,3.0,1.0,4.12,None
99,1.963575560835729,0.047047376787217404,0.0028379824788159424,-0.5836952094566232,-0.2346569825703776,-0.47767552793158313,-0.9970068536845296,3.0,11.0,15.0,3.0,4.0,2.5,None
100,0.5704196261593028,0.047047376787217404,-0.1328794118519711,-0.5836952094566232,-0.37990716271367403,-0.47767552793158313,-0.9970068536845296,3.0,66.0,15.0,3.0,4.0,2,0
101,0.849050813094588,0.3468140761591936,-0.16545158649136,-0.010996666793084241,1.549845230618693,-0.5935094182429437,-0.17637467681888483,3.0,5.0,15.0,9.0,0.0,1.6,None
102,0.849050813094588,0.3468140761591936,-0.16545158649136,-0.010996666793084241,1.549845230618693,-0.5935094182429437,-0.17637467681888483,3.0,10.0,15.0,9.0,0.0,1.2,None
103,0.849050813094588,0.3468140761591936,-0.16545158649136,-0.010996666793084241,1.549845230618693,-0.5935094182429437,-0.17637467681888483,3.0,9.0,15.0,9.0,0.0,1.2,None
104,0.849050813094588,0.3468140761591936,-0.16545158649136,-0.010996666793084241,1.549845230618693,-0.5935094182429437,-0.17637467681888483,3.0,6.0,15.0,9.0,0.0,1.2,None
105,0.849050813094588,0.3468140761591936,-0.16545158649136,-0.010996666793084241,1.549845230618693,-0.5935094182429437,-0.17637467681888483,3.0,8.0,15.0,9.0,0.0,1.5,None
106,0.849050813094588,0.3468140761591936,-0.16545158649136,-0.010996666793084241,1.549845230618693,-0.5935094182429437,-0.17637467681888483,3.0,7.0,15.0,9.0,0.0,1.7,None
107,-0.7029248981349507,-0.44407039901720347,-0.10573593298581369,0.029910371968597114,-0.5251573428569705,1.375666717050185,-0.17637467681888483,3.0,67.0,13.0,3.0,1.0,4.25,None
108,-0.07043210379185318,-0.4026026722707468,-0.04602027948026741,-0.7064163257416672,-0.5251573428569705,-0.36184163762022264,1.3007632415392758,0.0,59.0,11.0,8.0,1.0,18,15.15978412
109,-0.6555575963559522,-0.4175910072393456,-0.24145332731660074,-0.6655092869799859,-0.4006571884484307,-0.47767552793158313,-0.17637467681888483,0.0,59.0,11.0,9.0,0.0,4,4.547935237
110,-0.7112838337430093,-0.39261044895834757,-0.2208242833783211,-0.010996666793084241,-0.5251573428569705,-0.47767552793158313,-0.17637467681888483,1.0,36.0,15.0,9.0,1.0,3.3,2.273967619
111,-0.6566721211036933,-0.4450696213484434,-0.26778250181677343,1.2571215348190379,-0.5251573428569705,0.44899559455930094,0.21752876807662466,1.0,36.0,4.0,9.0,1.0,9,0.757989206
112,-0.6566721211036933,-0.4450696213484434,-0.26778250181677343,1.2571215348190379,-0.5251573428569705,0.44899559455930094,0.21752876807662466,1.0,36.0,4.0,9.0,1.0,15,0.909587047
