,Unnamed: 0.1,Unnamed: 0,metal_amount_mmol,ligand_amount_mmol,reductant_amount_mmol,sol1_vol_mL,solv2_vol_mL,time_min,temp_c,7,8,9,10,11,size_nm,g_factor*10^4.1
110,110,110,-0.7112838337430093,-0.3926104489583475,-0.2208242833783211,-0.0109966667930842,-0.5251573428569705,-0.4776755279315831,-0.1763746768188848,1.0,36.0,15.0,9.0,1.0,3.3,2.273967619
111,111,111,-0.6566721211036933,-0.4450696213484434,-0.2677825018167734,1.257121534819038,-0.5251573428569705,0.4489955945593009,0.2175287680766246,1.0,36.0,4.0,9.0,1.0,9.0,0.757989206
112,112,112,-0.6566721211036933,-0.4450696213484434,-0.2677825018167734,1.257121534819038,-0.5251573428569705,0.4489955945593009,0.2175287680766246,1.0,36.0,4.0,9.0,1.0,15.0,0.909587047
113,113,113,-0.7519639870355609,-0.4225871188955452,-0.2631681104095267,0.3162596433003666,-0.5251573428569705,-0.4776755279315831,-0.1763746768188848,1.0,1.0,14.0,9.0,1.0,3.5,0
119,119,119,-0.808804749170359,-0.4490665106734031,-0.268216797478632,-0.3791600156482164,-0.5251573428569705,-0.6514263633986239,2.2855218537780497,1.0,81.0,16.0,9.0,1.0,45.0,0
120,120,120,-0.8192534186804323,-0.4525587927210866,-0.2685018040067266,-0.6859628063608266,-0.5251573428569705,-0.4776755279315831,-0.1763746768188848,1.0,65.0,16.0,9.0,1.0,45.0,13.34061003
129,129,129,-0.7817775240376365,-0.4521640999002468,-0.2685533766165723,0.2344455657770039,-0.5251573428569705,-0.6900376601690774,2.2855218537780497,1.0,1.0,0.0,9.0,1.0,50.0,0
130,130,130,-0.7817775240376365,-0.4520641776671228,-0.2685425192250258,0.2344455657770039,-0.5251573428569705,-0.6900376601690774,2.2855218537780497,1.0,1.0,0.0,9.0,1.0,80.0,0
131,131,131,-0.7948731898235948,-0.1527970894607667,-0.2441676752032164,-0.7064163257416672,-0.5251573428569705,-0.4776755279315831,-0.1763746768188848,1.0,73.0,10.0,9.0,1.0,5.6,1.576617549
132,132,132,-0.7948731898235948,-0.2277387643037607,-0.2441676752032164,-0.7064163257416672,-0.5251573428569705,-0.4776755279315831,-0.1763746768188848,1.0,73.0,10.0,9.0,1.0,2.32,1.576617549
133,133,133,-0.7948731898235948,-0.3026804391467548,-0.2441676752032164,-0.7064163257416672,-0.5251573428569705,-0.4776755279315831,-0.1763746768188848,1.0,73.0,10.0,9.0,1.0,2.671818181818182,1.091504457
134,134,134,-0.7948731898235948,-0.3776221139897487,-0.2441676752032164,-0.7064163257416672,-0.5251573428569705,-0.4776755279315831,-0.1763746768188848,1.0,73.0,10.0,9.0,1.0,2.671818181818182,0.545752228
135,135,135,-0.7948731898235948,-0.4026026722707468,-0.2441676752032164,-0.7064163257416672,-0.5251573428569705,-0.4776755279315831,-0.1763746768188848,1.0,73.0,10.0,9.0,1.0,2.671818181818182,0.303195682
136,136,136,-0.7948731898235948,-0.2527193225847587,-0.2441676752032164,-0.7064163257416672,-0.5251573428569705,-0.4776755279315831,-0.1763746768188848,1.0,33.0,10.0,9.0,1.0,2.671818181818182,13.33333333
137,137,137,-0.7948731898235948,-0.2527193225847587,-0.2441676752032164,-0.7064163257416672,-0.5251573428569705,-0.4776755279315831,-0.1763746768188848,1.0,65.0,10.0,9.0,1.0,2.671818181818182,4.85113092
138,138,138,0.5704196261593028,-0.4463186492624933,0.0028379824788159,1.7684595193400547,-0.5251573428569705,-0.5355924730872634,-0.1763746768188848,6.0,70.0,15.0,5.0,1.0,0.77,0.151597841
